configuracion,target,seed,fitness,segundos
base + granularidad,compleja,5,0.9167940529311795,24.54
base + tasa_cruza,plana,1,0.9447255918494026,22.52
base + tasa_cruza,plana,2,0.9507758683529525,24.01
base + tasa_cruza,plana,3,0.958374639010047,23.83
base + tasa_cruza,plana,4,0.9525228374642045,23.22
base + tasa_cruza,plana,5,0.9465796725265837,23.0
base + tasa_cruza,detallada,1,0.8743605111762998,24.6
base + tasa_cruza,detallada,2,0.8737036128968342,24.63
base + tasa_cruza,detallada,3,0.8763398260321096,23.96
base + tasa_cruza,detallada,4,0.875227057070287,23.33
base + tasa_cruza,detallada,5,0.8774227003626942,24.72
base + tasa_cruza,compleja,1,0.9130791948325756,24.19
base + tasa_cruza,compleja,2,0.9145226285504718,24.2
base + tasa_cruza,compleja,3,0.9103263987676756,24.4
base + tasa_cruza,compleja,4,0.9140471529740932,23.8
base + tasa_cruza,compleja,5,0.9081946427386451,24.06
base + mutacion,plana,1,0.9477986726802285,22.69
base + mutacion,plana,2,0.9450805350032905,22.92
base + mutacion,plana,3,0.9425942208052386,22.71
base + mutacion,plana,4,0.9368230781905736,23.56
base + mutacion,plana,5,0.9463396665257426,23.3
base + mutacion,detallada,1,0.8687557881182053,23.89
base + mutacion,detallada,2,0.8748870136101536,24.24
base + mutacion,detallada,3,0.8741988997868189,23.78
base + mutacion,detallada,4,0.8751695610501914,23.97
base + mutacion,detallada,5,0.8743399927506565,24.46
base + mutacion,compleja,1,0.9133291266910643,24.39
base + mutacion,compleja,2,0.917393540291195,24.49
base + mutacion,compleja,3,0.9111895852510126,24.96
base + mutacion,compleja,4,0.9121209506936179,24.41
base + mutacion,compleja,5,0.9182183901277752,24.83
base + tasa_mutacion,plana,1,0.9431192759646256,22.87
base + tasa_mutacion,plana,2,0.9470757050789776,23.24
base + tasa_mutacion,plana,3,0.9497566704838581,22.79
base + tasa_mutacion,plana,4,0.9415957484867814,23.35
base + tasa_mutacion,plana,5,0.9493468911445403,23.19
base + tasa_mutacion,detallada,1,0.8796013520230705,24.28
base + tasa_mutacion,detallada,2,0.876623605866806,23.65
base + tasa_mutacion,detallada,3,0.8692951220941936,23.34
base + tasa_mutacion,detallada,4,0.8731037595927733,23.3
base + tasa_mutacion,detallada,5,0.8707190174306205,23.77
base + tasa_mutacion,compleja,1,0.918022896220519,23.42
base + tasa_mutacion,compleja,2,0.9133412955979526,24.55
base + tasa_mutacion,compleja,3,0.9110269162030763,24.64
base + tasa_mutacion,compleja,4,0.9132389596692422,23.33
base + tasa_mutacion,compleja,5,0.9156836294744145,23.51
base + sigma,plana,1,0.9494752249136783,23.47
base + sigma,plana,2,0.95419277857514,24.31
base + sigma,plana,3,0.9515027835057583,24.06
base + sigma,plana,4,0.9515945075481449,24.25
base + sigma,plana,5,0.9446822833938262,24.75
base + sigma,detallada,1,0.8742110772390643,25.03
base + sigma,detallada,2,0.8714576299840344,24.79
base + sigma,detallada,3,0.8800753166504635,24.74
base + sigma,detallada,4,0.8743486877714604,24.17
base + sigma,detallada,5,0.8742840920597428,25.1
base + sigma,compleja,1,0.9136487400559165,24.16
base + sigma,compleja,2,0.9131587240195239,23.91
base + sigma,compleja,3,0.9141812650299848,25.42
base + sigma,compleja,4,0.9121978410497338,24.74
base + sigma,compleja,5,0.9093591022774504,24.86
base + poblacion,plana,1,0.9464641226312539,49.52
base + poblacion,plana,2,0.9471514309271888,47.89
base + poblacion,plana,3,0.9535429424956614,48.65
base + poblacion,plana,4,0.9489225349940248,47.36
base + poblacion,plana,5,0.9488378146072275,47.36
base + poblacion,detallada,1,0.8800394486124323,50.32
base + poblacion,detallada,2,0.8920119669547515,48.77
base + poblacion,detallada,3,0.8846640800213751,50.1
base + poblacion,detallada,4,0.8785215522072074,50.34
base + poblacion,detallada,5,0.8813692416347866,47.32
base + poblacion,compleja,1,0.9171292171672208,47.2
base + poblacion,compleja,2,0.9158698134985017,48.29
base + poblacion,compleja,3,0.9178638359595728,47.87
base + poblacion,compleja,4,0.9178703565276883,47.57
base + poblacion,compleja,5,0.8996127407746024,50.34
base + inicializacion,plana,1,0.9714504836983993,20.95
base + inicializacion,plana,2,0.963182873700418,21.77
base + inicializacion,plana,3,0.9662583059356425,22.5
base + inicializacion,plana,4,0.963642075433361,22.08
base + inicializacion,plana,5,0.964727767826223,22.58
base + inicializacion,detallada,1,0.8851294950685324,23.19
base + inicializacion,detallada,2,0.8842807291555635,22.66
base + inicializacion,detallada,3,0.879099372518344,22.87
base + inicializacion,detallada,4,0.8822642170156096,22.67
base + inicializacion,detallada,5,0.8903790285713067,22.17
base + inicializacion,compleja,1,0.9195651781740213,22.37
base + inicializacion,compleja,2,0.9169391890048694,20.76
base + inicializacion,compleja,3,0.9180085862624335,20.41
base + inicializacion,compleja,4,0.9179674135678445,19.12
base + inicializacion,compleja,5,0.9173272900459295,19.34
