criterio,disparos,corridas,cobertura,gen_mediana,gen_min,gen_max,perdida_media,perdida_max,ahorro_medio
contenido G=20,45,945,0.047619047619047616,441.0,139,799,0.008291100096196966,0.04453473412298814,0.41600000000000004
contenido G=50,20,945,0.021164021164021163,574.0,218,785,0.004455095646913654,0.019521476426424766,0.3026875
contenido G=100,1,945,0.0010582010582010583,683.0,683,683,0.00419628660869964,0.00419628660869964,0.14625
estructura G=20 (ε=0.01),2,945,0.0021164021164021165,601.5,559,644,0.00018129610788575334,0.0002481217144264525,0.24812499999999998
estructura G=50 (ε=0.01),0,945,0.0,,,,,,
entorno fitness≥0.85,930,945,0.9841269841269841,127.5,20,722,0.05707404528096803,0.11911859447070483,0.7878521505376344
entorno fitness≥0.90,602,945,0.6370370370370371,321.5,62,790,0.02506934956113318,0.07081711644242816,0.5803799833887042
entorno fitness≥0.95,45,945,0.047619047619047616,633.0,206,786,0.006029293459940573,0.021330832713305936,0.24213888888888885
