,lineal,sigmoide,relu,n
0.0-0.2,0.12387833324978564,0.05967577446931497,0.11595057464755332,2328
0.2-0.4,0.08846330682545106,0.08413829178216385,0.08953821428771401,1729
0.4-0.6,0.09015028854281933,0.09972919610564351,0.09209353553479578,1257
0.6-0.8,0.19448015078625197,0.11494867297151422,0.19349726265331088,993
0.8-1.0,0.18881547251369551,0.041513878371644226,0.18791807261882318,1193
