lr,semilla,mse_final,mse_promedio_epocas,h_no_positivo,mayor_a_1,muerta
0.01,0,0.025822048601819626,0.10445072485725082,0.018933333333333333,0.046533333333333336,False
0.01,1,0.025822048008205714,0.10075672238734028,0.018933333333333333,0.046533333333333336,False
0.01,2,0.025826750624633816,0.1380799717574743,0.019866666666666668,0.046533333333333336,False
0.01,3,0.025822048141541012,0.07816254805724175,0.018933333333333333,0.046533333333333336,False
0.01,4,0.025822048356718922,0.11747164314380105,0.018933333333333333,0.046533333333333336,False
0.1,0,0.025822047924597146,0.03334062645619822,0.018933333333333333,0.046533333333333336,False
0.1,1,0.025822047924597146,0.03271783991833859,0.018933333333333333,0.046533333333333336,False
0.1,2,0.02582204792459715,0.036911371788770464,0.018933333333333333,0.046533333333333336,False
0.1,3,0.025822047924597146,0.030808154466428022,0.018933333333333333,0.046533333333333336,False
0.1,4,0.025822047924597146,0.034501288191108,0.018933333333333333,0.046533333333333336,False
0.5,0,0.025822047924597146,0.02709064308930304,0.018933333333333333,0.046533333333333336,False
0.5,1,0.025822047924597146,0.026745037180999562,0.018933333333333333,0.046533333333333336,False
0.5,2,0.025822047924597146,0.027950207192931592,0.018933333333333333,0.046533333333333336,False
0.5,3,0.025822047924597146,0.026635865859884648,0.018933333333333333,0.046533333333333336,False
0.5,4,0.025822047924597146,0.02717287731266699,0.018933333333333333,0.046533333333333336,False
1.0,0,0.042970017244450105,0.08765664113974105,0.122,0.0864,False
1.0,1,0.07201596163096276,0.08776106771518405,0.12146666666666667,0.0996,False
1.0,2,0.047727306442396235,0.0877985500789726,0.015466666666666667,0.0002666666666666667,False
1.0,3,0.10660350850626994,0.08802059230551806,0.0061333333333333335,0.0,False
1.0,4,0.07267559247233925,0.0877767194405293,0.15106666666666665,0.0996,False
2.0,0,0.2674294948968829,0.23151502035774707,0.9748,0.0,False
2.0,1,0.27022479123692533,0.24939331278793933,1.0,0.0,True
2.0,2,0.27022479123692533,0.2537043581166584,1.0,0.0,True
2.0,3,0.201208698860288,0.199307322477481,0.4918666666666667,0.0,False
2.0,4,0.27022479123692533,0.2702247912369254,1.0,0.0,True
