modelo,lr,mse,mae,r2,fuera_de_0_1,mayor_a_1,std_mse_entre_semillas,epoca_1pct_final,h_no_positivo
lineal,0.5,0.026121851108123838,0.12973818379261556,0.7144445947277553,0.05946666666666667,0.04533333333333334,1.5515838457795456e-18,10,
sigmoide,20.0,0.010954765120176123,0.0764573330825074,0.8802461440957651,0.0,0.0,0.0,14,
relu,0.5,0.025822047924597146,0.12757801691989248,0.7177219436116271,0.046533333333333336,0.046533333333333336,0.0,22,0.018933333333333333
