fraccion,n_train,mse_train,std_train,mse_val,std_val
0.01,48,0.008902991716957322,0.001303951304382506,0.013344355857377413,0.0016673967482422971
0.02,96,0.009463077876513296,0.00270336900807859,0.012146036289492786,0.0007911833698387018
0.05,240,0.01048427452481272,0.0010217224202271104,0.01142544643993949,0.00019040105627516225
0.1,480,0.011382311991876382,0.0006076289151502297,0.011057965162235313,0.00025459691889890597
0.2,960,0.010831806678536263,0.0004920628201314093,0.011059808664608855,0.0002417405043208712
0.5,2400,0.010986220359367922,0.00018531578307140858,0.010978538941095996,0.0002320605779700241
1.0,4800,0.01093785234416651,6.345509397106534e-05,0.010972104490472756,0.00024409101819413028
